pkg;class;WMC;DIT;NOC;CBO;RFC;LCOM;Ca;NPM
com.google.android.apps.mytracks.services.sensors;com.google.android.apps.mytracks.services.sensors.ZephyrMessageParser;7;1;1;10;26;19;1;5
com.google.android.apps.mytracks.settings;com.google.android.apps.mytracks.settings.MyTracksEditTextPreference;3;4;1;6;9;3;1;2
com.google.android.apps.mytracks.settings;com.google.android.apps.mytracks.settings.SensorSettingsActivity$3;2;1;1;5;5;0;1;1
com.google.android.apps.mytracks.settings;com.google.android.apps.mytracks.settings.SensorSettingsActivity$2;2;1;1;3;4;0;1;1
com.google.android.apps.mytracks;com.google.android.apps.mytracks.TrackListActivity$2$1;2;1;1;10;13;0;1;1
com.google.android.apps.mytracks;com.google.android.apps.mytracks.TabsAdapter;8;3;1;16;32;6;1;8
com.google.android.apps.mytracks.fragments;com.google.android.apps.mytracks.fragments.ShareTrackDialogFragment$4;2;1;1;15;23;0;1;1
com.google.android.apps.mytracks.fragments;com.google.android.apps.mytracks.fragments.MarkerDetailFragment;19;2;1;40;99;89;1;10
com.google.android.apps.mytracks.fragments;com.google.android.apps.mytracks.fragments.ShareTrackDialogFragment$1;2;1;1;4;5;0;1;1
com.google.android.apps.mytracks.fragments;com.google.android.apps.mytracks.fragments.ShareTrackDialogFragment$2;2;1;1;3;6;1;1;1
com.google.android.apps.mytracks.fragments;com.google.android.apps.mytracks.fragments.ShareTrackDialogFragment$3;2;1;1;4;5;0;1;1
com.google.android.apps.mytracks;com.google.android.apps.mytracks.SearchListActivity;31;8;1;55;142;393;1;8
com.google.android.apps.mytracks;com.google.android.apps.mytracks.TrackController$1;2;1;1;4;14;0;1;1
com.google.android.apps.mytracks.content;com.google.android.apps.mytracks.content.MyTracksProvider;19;2;1;25;75;87;1;9
com.google.android.apps.mytracks.content;com.google.android.apps.mytracks.content.DataSourceManager$TracksTableObserver;2;2;1;4;6;0;1;2
com.google.android.apps.mytracks.io.gdata.maps;com.google.android.apps.mytracks.io.gdata.maps.MapsFeature;18;1;1;2;44;0;1;18
com.google.android.apps.mytracks.settings;com.google.android.apps.mytracks.settings.ActivityTypePreference;10;3;1;26;46;13;1;3
com.google.android.apps.mytracks.maps;com.google.android.apps.mytracks.maps.TrackPath;2;1;1;2;2;1;1;2
com.google.android.apps.mytracks.io.maps;com.google.android.apps.mytracks.io.maps.SendMapsActivity;5;6;1;9;17;8;1;1
com.google.android.apps.mytracks.settings;com.google.android.apps.mytracks.settings.SensorSettingsActivity$1;2;1;1;4;5;0;1;1
com.google.android.apps.mytracks.fragments;com.google.android.apps.mytracks.fragments.DeleteMarkerDialogFragment$DeleteMarkerCaller;1;1;1;0;1;0;0;1
com.google.android.apps.mytracks.util;com.google.android.apps.mytracks.util.Api14Adapter$2;3;1;1;3;5;1;1;2
com.google.android.apps.mytracks.util;com.google.android.apps.mytracks.util.Api14Adapter$1;3;1;1;3;5;1;1;2
com.google.android.apps.mytracks.fragments;com.google.android.apps.mytracks.fragments.FileTypeDialogFragment$1;2;1;1;7;8;0;1;1
com.google.android.apps.mytracks.fragments;com.google.android.apps.mytracks.fragments.MyTracksMapFragment$3;3;1;1;3;5;0;1;2
com.google.android.apps.mytracks.io.file;com.google.android.apps.mytracks.io.file.TrackFileFormat$1;2;3;1;4;4;1;1;1
com.google.android.apps.mytracks.fragments;com.google.android.apps.mytracks.fragments.MyTracksMapFragment$2;2;1;1;7;12;0;1;1
com.google.android.apps.mytracks.io.file;com.google.android.apps.mytracks.io.file.TrackFileFormat$2;2;3;1;4;4;1;1;1
com.google.android.apps.mytracks.services;com.google.android.apps.mytracks.services.TrackRecordingService$1;2;1;1;9;26;0;1;1
com.google.android.apps.mytracks.fragments;com.google.android.apps.mytracks.fragments.MyTracksMapFragment$1;3;1;1;12;20;0;1;1
com.google.android.apps.mytracks.io.file;com.google.android.apps.mytracks.io.file.TrackFileFormat$3;2;3;1;4;4;1;1;1
com.google.android.apps.mytracks.services;com.google.android.apps.mytracks.services.TrackRecordingService$2;3;1;1;5;11;0;1;1
com.google.android.apps.mytracks.io.file;com.google.android.apps.mytracks.io.file.TrackFileFormat$4;2;3;1;4;4;1;1;1
com.google.android.apps.mytracks.services;com.google.android.apps.mytracks.services.TrackRecordingService$3;3;1;1;5;7;1;1;2
com.google.android.apps.mytracks.stats;com.google.android.apps.mytracks.stats.TripStatisticsUpdater;13;1;1;7;54;0;1;7
com.google.android.apps.mytracks;com.google.android.apps.mytracks.TrackDetailActivity;40;8;1;61;167;514;1;14
com.google.android.apps.mytracks.services;com.google.android.apps.mytracks.services.TrackRecordingService$4;2;1;1;3;3;1;1;1
com.google.android.apps.mytracks.services;com.google.android.apps.mytracks.services.TrackRecordingService$5;2;1;1;2;8;0;1;1
com.google.android.apps.mytracks.services;com.google.android.apps.mytracks.services.TrackRecordingService$6;2;1;1;7;14;0;1;1
com.google.android.apps.mytracks.fragments;com.google.android.apps.mytracks.fragments.MyTracksMapFragment$9;3;1;1;8;12;0;1;1
com.google.android.apps.mytracks.io.spreadsheets;com.google.android.apps.mytracks.io.spreadsheets.SendSpreadsheetsUtils;5;1;1;0;11;2;0;3
com.google.android.apps.mytracks.fragments;com.google.android.apps.mytracks.fragments.ChooseAccountDialogFragment$ChooseAccountCaller;1;1;1;0;1;0;0;1
com.google.android.apps.mytracks.fragments;com.google.android.apps.mytracks.fragments.MyTracksMapFragment$8;2;1;1;7;16;0;1;1
com.google.android.apps.mytracks.fragments;com.google.android.apps.mytracks.fragments.MyTracksMapFragment$7;2;1;1;2;6;0;1;1
com.google.android.apps.mytracks.fragments;com.google.android.apps.mytracks.fragments.MyTracksMapFragment$6;2;1;1;5;10;0;1;1
com.google.android.apps.mytracks;com.google.android.apps.mytracks.BootReceiver;3;2;1;5;15;1;1;2
com.google.android.apps.mytracks.fragments;com.google.android.apps.mytracks.fragments.MyTracksMapFragment$5;2;1;1;6;16;0;1;1
com.google.android.apps.mytracks.fragments;com.google.android.apps.mytracks.fragments.MyTracksMapFragment$4;2;1;1;4;8;0;1;1
com.google.android.apps.mytracks.util;com.google.android.apps.mytracks.util.Api16Adapter;5;6;1;5;12;10;1;4
com.google.android.apps.mytracks.io.gdata;com.google.android.apps.mytracks.io.gdata.AndroidGDataClient$GetRequestCreator;3;1;1;3;5;3;1;1
com.google.android.apps.mytracks.io.file;com.google.android.apps.mytracks.io.file.TrackFileFormat$5;5;1;1;3;6;10;1;4
com.google.android.apps.mytracks.content;com.google.android.apps.mytracks.content.SearchEngine;13;1;1;10;58;70;1;2
com.google.android.apps.mytracks.util;com.google.android.apps.mytracks.util.ApiAdapter;23;1;1;14;23;253;1;23
com.google.android.apps.mytracks.fragments;com.google.android.apps.mytracks.fragments.ExportDialogFragment$ExportType;4;2;1;0;7;4;0;2
com.google.android.apps.mytracks.io.file;com.google.android.apps.mytracks.io.file.TrackFileFormat;10;2;1;10;25;43;1;7
com.google.android.apps.mytracks.io.gdata.maps;com.google.android.apps.mytracks.io.gdata.maps.XmlMapsGDataParserFactory;6;1;1;13;13;3;1;4
com.google.android.apps.mytracks.maps;com.google.android.apps.mytracks.maps.FixedSpeedTrackPathDescriptor;9;1;1;6;14;22;1;4
com.google.android.apps.mytracks.fragments;com.google.android.apps.mytracks.fragments.ExportDialogFragment$2;3;1;1;8;13;1;1;2
com.google.android.apps.mytracks.fragments;com.google.android.apps.mytracks.fragments.ExportDialogFragment$1;2;1;1;13;22;0;1;1
com.google.android.apps.mytracks.io.gdata.maps;com.google.android.apps.mytracks.io.gdata.maps.MapFeatureEntry;6;0;1;1;10;0;1;6
com.google.android.apps.mytracks.fragments;com.google.android.apps.mytracks.fragments.MarkerDetailFragment$1$1;4;1;1;6;10;4;1;3
com.google.android.apps.mytracks.fragments;com.google.android.apps.mytracks.fragments.ChooseActivityDialogFragment$ChooseActivityCaller;1;1;1;0;1;0;0;1
com.google.android.apps.mytracks.fragments;com.google.android.apps.mytracks.fragments.PlayMultipleDialogFragment$1;2;1;1;7;8;0;1;1
com.google.android.apps.mytracks.maps;com.google.android.apps.mytracks.maps.DynamicSpeedTrackPathDescriptor;11;1;1;6;20;15;1;4
com.google.android.apps.mytracks;com.google.android.apps.mytracks.Constants;1;1;1;0;2;0;0;0
com.google.android.apps.mytracks.fragments;com.google.android.apps.mytracks.fragments.MyTracksMapFragment$1$2;2;1;1;4;7;0;1;1
com.google.android.apps.mytracks.fragments;com.google.android.apps.mytracks.fragments.MyTracksMapFragment$1$1;2;1;1;4;7;0;1;1
com.google.android.apps.mytracks.io.sendtogoogle;com.google.android.apps.mytracks.io.sendtogoogle.UploadResultActivity;6;6;1;25;50;5;1;2
com.google.android.apps.mytracks.services.sensors;com.google.android.apps.mytracks.services.sensors.BluetoothSensorManager;13;2;1;14;43;28;1;4
com.google.android.apps.mytracks.fragments;com.google.android.apps.mytracks.fragments.ConfirmSyncDialogFragment$2;2;1;1;4;5;0;1;1
com.google.android.apps.mytracks.fragments;com.google.android.apps.mytracks.fragments.ConfirmSyncDialogFragment$1;2;1;1;4;5;0;1;1
com.google.android.apps.mytracks.content;com.google.android.apps.mytracks.content.TrackDataManager;8;1;1;3;29;0;1;7
com.google.android.apps.mytracks.settings;com.google.android.apps.mytracks.settings.ActivityTypePreference$3;2;1;1;5;6;0;1;1
com.google.android.apps.mytracks.settings;com.google.android.apps.mytracks.settings.ActivityTypePreference$2;2;1;1;8;10;0;1;1
com.google.android.apps.mytracks.settings;com.google.android.apps.mytracks.settings.ActivityTypePreference$4;2;1;1;5;5;0;1;1
com.google.android.apps.mytracks.fragments;com.google.android.apps.mytracks.fragments.AbstractMyTracksDialogFragment;3;3;1;5;6;3;1;2
com.google.android.apps.mytracks.fragments;com.google.android.apps.mytracks.fragments.ChooseActivityDialogFragment$1;2;3;1;12;17;0;1;1
com.google.android.apps.mytracks.settings;com.google.android.apps.mytracks.settings.ActivityTypePreference$1;2;1;1;9;10;0;1;1
com.google.android.apps.mytracks.util;com.google.android.apps.mytracks.util.DialogUtils;6;1;1;18;39;15;1;4
com.google.android.apps.mytracks.fragments;com.google.android.apps.mytracks.fragments.ChooseActivityDialogFragment$2;2;1;1;10;9;0;1;1
com.google.android.apps.mytracks.fragments;com.google.android.apps.mytracks.fragments.ShareTrackDialogFragment;12;4;1;35;55;54;1;3
com.google.android.apps.mytracks.io.file.importer;com.google.android.apps.mytracks.io.file.importer.AbstractFileTrackImporter$TrackData;2;1;1;4;5;1;1;0
com.google.android.apps.mytracks.util;com.google.android.apps.mytracks.util.PhotoUtils;4;1;1;4;14;6;1;2
com.google.android.apps.mytracks.fragments;com.google.android.apps.mytracks.fragments.ConfirmDeleteDialogFragment$ConfirmDeleteCaller;1;1;1;0;1;0;0;1
com.google.android.apps.mytracks.services;com.google.android.apps.mytracks.services.TrackRecordingServiceConnection$1;2;1;1;4;6;0;1;1
com.google.android.apps.mytracks.util;com.google.android.apps.mytracks.util.PreferencesUtils;20;1;1;9;47;188;1;18
com.google.android.apps.mytracks;com.google.android.apps.mytracks.TrackListActivity$1$1;2;1;1;3;8;0;1;1
com.google.android.apps.mytracks.services.sensors;com.google.android.apps.mytracks.services.sensors.PolarMessageParser;6;1;1;6;15;13;1;5
com.google.android.apps.mytracks.io.drive;com.google.android.apps.mytracks.io.drive.SendDriveActivity;5;6;1;9;20;4;1;1
com.google.android.apps.mytracks.services;com.google.android.apps.mytracks.services.ControlRecordingService;10;5;1;10;29;11;1;5
com.google.android.apps.mytracks.io.sendtogoogle;com.google.android.apps.mytracks.io.sendtogoogle.AbstractSendAsyncTask;13;2;1;2;21;56;1;2
com.google.android.apps.mytracks;com.google.android.apps.mytracks.MarkerListActivity;21;7;1;40;78;160;1;8
com.google.android.apps.mytracks.util;com.google.android.apps.mytracks.util.TrackNameUtils;3;1;1;8;31;3;1;1
com.google.android.apps.mytracks;com.google.android.apps.mytracks.ContextualActionModeCallback;2;1;1;1;2;1;1;2
com.google.android.apps.mytracks.io.gdata;com.google.android.apps.mytracks.io.gdata.AndroidGDataClient$PostRequestCreator;2;1;1;4;6;0;1;2
com.google.android.apps.mytracks.fragments;com.google.android.apps.mytracks.fragments.DeleteMarkerDialogFragment$1;3;1;1;5;7;0;1;1
com.google.android.apps.mytracks;com.google.android.apps.mytracks.ChartView;51;2;1;26;161;693;1;21
com.google.android.apps.mytracks.services;com.google.android.apps.mytracks.services.TrackRecordingServiceConnection$2;3;1;1;9;11;0;1;2
com.google.android.apps.mytracks.services;com.google.android.apps.mytracks.services.AdaptiveLocationListenerPolicy;4;1;1;1;7;0;1;4
com.google.android.apps.mytracks.io.spreadsheets;com.google.android.apps.mytracks.io.spreadsheets.SendSpreadsheetsAsyncTask;8;3;1;42;92;14;1;1
com.google.android.apps.mytracks.services.sensors.ant;com.google.android.apps.mytracks.services.sensors.ant.AntSensorManager;35;2;1;28;95;377;1;3
com.google.android.apps.mytracks;com.google.android.apps.mytracks.ChartValueSeries;18;1;1;9;42;103;1;15
com.google.android.apps.mytracks.services.sensors.ant;com.google.android.apps.mytracks.services.sensors.ant.AntSensorManager$2;2;2;1;7;17;0;1;1
com.google.android.apps.mytracks.services;com.google.android.apps.mytracks.services.TrackRecordingService$ServiceBinder;23;3;1;17;55;0;1;20
com.google.android.apps.mytracks.settings;com.google.android.apps.mytracks.settings.MyTracksListPreference;3;4;1;6;9;3;1;2
com.google.android.apps.mytracks.services.sensors.ant;com.google.android.apps.mytracks.services.sensors.ant.AntSensorManager$1;3;1;1;5;17;0;1;2
com.google.android.apps.mytracks.services.sensors.ant;com.google.android.apps.mytracks.services.sensors.ant.AntSensorManager$3;3;2;1;13;44;0;1;1
com.google.android.apps.mytracks.settings;com.google.android.apps.mytracks.settings.StatsSettingsActivity$1;2;1;1;3;5;0;1;1
com.google.android.apps.mytracks.settings;com.google.android.apps.mytracks.settings.SettingsActivity$2;2;1;1;6;4;0;1;1
com.google.android.apps.mytracks.settings;com.google.android.apps.mytracks.settings.SettingsActivity$3;2;1;1;7;8;0;1;1
com.google.android.apps.mytracks.settings;com.google.android.apps.mytracks.settings.SettingsActivity$1;2;1;1;7;9;0;1;1
com.google.android.apps.mytracks.settings;com.google.android.apps.mytracks.settings.SettingsActivity$6;2;1;1;6;5;0;1;1
com.google.android.apps.mytracks.settings;com.google.android.apps.mytracks.settings.SettingsActivity$4;2;1;1;6;4;0;1;1
com.google.android.apps.mytracks.settings;com.google.android.apps.mytracks.settings.SettingsActivity$5;2;1;1;8;8;0;1;1
com.google.android.apps.mytracks;com.google.android.apps.mytracks.DeleteActivity;7;5;1;11;21;15;1;5
com.google.android.apps.mytracks;com.google.android.apps.mytracks.MarkerListActivity$2$1;2;1;1;5;6;0;1;1
com.google.android.apps.mytracks.services.sensors;com.google.android.apps.mytracks.services.sensors.SensorManagerFactory;7;1;1;7;17;5;1;4
com.google.android.apps.mytracks.util;com.google.android.apps.mytracks.util.Api19Adapter;2;8;1;1;3;1;1;2
com.google.android.apps.mytracks.io.maps;com.google.android.apps.mytracks.io.maps.SendMapsUtils;8;1;1;12;40;8;1;4
com.google.android.apps.mytracks.services;com.google.android.apps.mytracks.services.MyTracksLocationManager$3;2;1;1;5;8;0;1;1
com.google.android.apps.mytracks.fragments;com.google.android.apps.mytracks.fragments.ChooseAccountDialogFragment;7;4;1;16;32;3;1;4
com.google.android.apps.mytracks.services;com.google.android.apps.mytracks.services.MyTracksLocationManager$4;2;1;1;4;8;0;1;1
com.google.android.apps.mytracks.io.file.exporter;com.google.android.apps.mytracks.io.file.exporter.TrackExporter;1;1;1;0;1;0;0;1
com.google.android.apps.mytracks.services;com.google.android.apps.mytracks.services.MyTracksLocationManager$5;2;1;1;3;7;0;1;1
com.google.android.apps.mytracks.services.sensors.ant;com.google.android.apps.mytracks.services.sensors.ant.CombinedBikeChannelConfiguration;5;2;1;3;9;8;1;5
com.google.android.apps.mytracks.services;com.google.android.apps.mytracks.services.MyTracksLocationManager$1;4;1;1;5;8;0;1;2
com.google.android.apps.mytracks.content;com.google.android.apps.mytracks.content.SearchEngine$SearchQuery;1;1;1;1;4;0;1;1
com.google.android.apps.mytracks.services;com.google.android.apps.mytracks.services.MyTracksLocationManager$2;2;1;1;3;3;1;1;1
com.google.android.apps.mytracks.fragments;com.google.android.apps.mytracks.fragments.ExportDialogFragment;18;4;1;28;70;131;1;3
com.google.android.apps.mytracks.io.sync;com.google.android.apps.mytracks.io.sync.SyncUtils;21;1;1;38;117;198;1;15
com.google.android.apps.mytracks.fragments;com.google.android.apps.mytracks.fragments.FrequencyDialogFragment;7;4;1;12;26;21;1;2
com.google.android.apps.mytracks.io.gdata.maps;com.google.android.apps.mytracks.io.gdata.maps.XmlMapsGDataParser;6;0;1;8;40;15;1;1
com.google.android.apps.mytracks.util;com.google.android.apps.mytracks.util.ChartsExtendedEncoder;4;1;1;0;12;4;0;2
com.google.android.apps.mytracks.util;com.google.android.apps.mytracks.util.GoogleEarthUtils;4;1;1;10;26;4;1;2
com.google.android.apps.mytracks.util;com.google.android.apps.mytracks.util.TrackIconUtils;12;1;1;13;42;50;1;8
com.google.android.apps.mytracks.io.file.importer;com.google.android.apps.mytracks.io.file.importer.ImportAsyncTask;13;2;1;17;54;22;1;2
com.google.android.apps.mytracks.io.file.importer;com.google.android.apps.mytracks.io.file.importer.ImportActivity$2;2;1;1;3;5;0;1;1
com.google.android.apps.mytracks.io.file.importer;com.google.android.apps.mytracks.io.file.importer.ImportActivity$1;2;1;1;4;6;0;1;1
com.google.android.apps.mytracks.content;com.google.android.apps.mytracks.content.TrackDataListener;14;1;1;3;14;91;1;14
com.google.android.apps.mytracks.fragments;com.google.android.apps.mytracks.fragments.ChartFragment$6;2;1;1;2;6;0;1;1
com.google.android.apps.mytracks.fragments;com.google.android.apps.mytracks.fragments.InstallEarthDialogFragment;2;4;1;8;11;1;1;1
com.google.android.apps.mytracks.services.sensors.ant;com.google.android.apps.mytracks.services.sensors.ant.ChannelConfiguration;13;1;1;2;14;54;1;13
com.google.android.apps.mytracks.fragments;com.google.android.apps.mytracks.fragments.ChartFragment$3;2;1;1;3;4;0;1;1
com.google.android.apps.mytracks.fragments;com.google.android.apps.mytracks.fragments.ChartFragment$2;2;1;1;3;4;0;1;1
com.google.android.apps.mytracks.io.gdata.maps;com.google.android.apps.mytracks.io.gdata.maps.MapsConstants;1;1;1;0;2;0;0;0
com.google.android.apps.mytracks.settings;com.google.android.apps.mytracks.settings.ChartSettingsActivity;5;8;1;9;17;10;1;1
com.google.android.apps.mytracks.fragments;com.google.android.apps.mytracks.fragments.ChartFragment$5;2;1;1;2;6;0;1;1
com.google.android.apps.mytracks.fragments;com.google.android.apps.mytracks.fragments.ChartFragment$4;2;1;1;2;6;0;1;1
com.google.android.apps.mytracks.content;com.google.android.apps.mytracks.content.DataSourceManager$TrackPointsTableObserver;2;2;1;4;6;0;1;2
com.google.android.apps.mytracks.fragments;com.google.android.apps.mytracks.fragments.ChartFragment$1;2;1;1;4;14;0;1;1
com.google.android.apps.mytracks.util;com.google.android.apps.mytracks.util.GoogleFeedbackUtils;4;1;1;4;9;4;1;1
com.google.android.apps.mytracks.io.file.importer;com.google.android.apps.mytracks.io.file.importer.ImportActivity$4;2;1;1;6;4;0;1;1
